AS,001,uAir Force ROTC Physical Training, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
BUS,511,, uCross-Cultural Management, uSamuel Scott  Holloway, u7:10 pm,9:55 pm, uM
BUS,515,, uSocial Venture Management, uShari Lynette  Dunn, u7:10 pm,9:55 pm, uM
BUS,520,, uApplied Marketing Strategies, uIan David  Parkman, u7:10 pm,9:55 pm, uM
BUS,524,, uBrand Promotions Management, uTyler   Laird-Magee, u4:10 pm,6:55 pm, uT
BUS,528,, uSports Marketing, uAlison J  Sarantakos, u7:10 pm,9:55 pm, uR
BUS,530,, uCorporate Finance, uArjun   Chatrath, u7:10 pm,9:55 pm, uR
BUS,531,, uInternational Finance, uArjun   Chatrath, u7:10 pm,9:55 pm, uT
BUS,532,, uSecurity and Portfolio Analysis, uRichard D  Gritta, u7:10 pm,9:55 pm, uM
BUS,539,, uResearch Methods in Finance, uMadhuparna   Kolay, u4:10 pm,6:55 pm, uM
BUS,540,, uProcess Analysis & Quality Management, uWilfred W  Wu, u7:10 pm,9:55 pm, uM
BUS,541,, uHuman Resource Management, uAlan Paul  Huston, u7:10 pm,9:55 pm, uM
BUS,542,, uSystems Analysis and Design, uTae-In   Eom, u7:10 pm,9:55 pm, uT
BUS,545,, uProject Management, uGary F  Mitchell, u7:10 pm,9:55 pm, uW
BUS,565,, uAuditing, uTeri O  Grimmer, u4:10 pm,6:55 pm, uW
BUS,566,, uAdvanced Accounting, uHenghsiu   Lin, u9:45 am,11:10 am, uTR
BUS,578,, uManagement of Technology for Life Science, uPeter B  Rachor, u4:10 pm,6:55 pm, uW
BUS,580,, uStrategic Issues and Applications in Management, uMark R  Meckler, u7:10 pm,9:55 pm, uW
BUS,591,, uIT Security, uScott David  Fenton, u7:10 pm,9:55 pm, uR
BUS,591,, uProduction and Service Operations Management, uMin   Yu, u4:10 pm,6:55 pm, uW
BUS,591,, uReal Estate Law, uJames John  Jurinski, u7:10 pm,9:55 pm, uW
BUS,591,, uStrategy and Competition in the Experiential Economy, uSamuel Scott  Holloway, u4:10 pm,6:55 pm, uR
BUS,591,, uMarketing Operations, uJoseph Essa  Barhoum, u7:10 pm,9:55 pm, uR
BUS,912,, uTax: Persons/Property/Entities, uJames John  Jurinski, u6:00 pm,9:35 pm, uF
BUS,913,, uRetirement/Employee Benefits, uC Christopher  Dunnaville, u6:00 pm,9:35 pm, uF
BUS,914,, uEstate Tax Planning, uTheodore B  Austin, u6:00 pm,6:55 pm, uF
BUS,915,, uCases in Financial Planning, uBruce E  Miller, u6:00 pm,9:35 pm, uF
CHM,007,uGeneral Chemistry I Workshop, uAngela   Hoffman, u4:10 pm,5:35 pm, uM
CHM,007,, uGeneral Chemistry I Workshop, uAngela   Hoffman, u7:10 pm,8:35 pm, uM
CHM,007,, uGeneral Chemistry I Workshop, uAngela   Hoffman, u5:40 pm,7:05 pm, uT
CHM,007,, uGeneral Chemistry I Workshop, uElizabeth Ruth  Morton, u5:40 pm,7:05 pm, uW
CHM,007,, uGeneral Chemistry I Workshop, uElizabeth Ruth  Morton, u7:10 pm,8:35 pm, uW
